fold_num,series_number,timestamp,target,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample80,sample81,sample82,sample83,sample84,sample85,sample86,sample87,sample88,sample89,sample90,sample91,sample92,sample93,sample94,sample95,sample96,sample97,sample98,sample99
1,0,2000-07-26 22:00:00,-2.1441402,-0.55651444,1.20892,0.9676063,0.07728491,-0.083271906,-1.3875042,0.7863235,-0.7142088,1.238729,-1.4033093,-4.91778,1.9315141,-0.9841835,2.566893,2.1344066,-3.8893862,-19.965322,-0.30956745,-0.20588803,-0.45661038,-2.4612117,-0.75093883,-0.08461685,-4.121609,1.4437886,1.0454314,1.0077341,-1.2708305,-1.471059,2.2512102,-1.1870291,0.67772704,-0.45164013,-1.0467232,-3.0290658,-0.50246304,-1.3463027,0.03423397,3.0099502,-2.922668,1.188266,1.5391738,-4.161697,0.63868505,-5.556392,-0.27490714,-1.046495,-0.8289127,1.3226353,0.93987995,0.41475528,-1.1490232,0.4951134,-0.44670948,-1.2065504,-0.2671487,-1.7356492,4.241925,1.0298543,-4.872635,-0.07638953,1.6691453,0.7019016,1.163791,1.5972712,0.56919,0.10429455,-3.7663634,2.2235985,1.779043,-1.5934818,0.036148783,0.80208844,0.8294558,0.5254906,1.3237513,-2.580027,-0.20106138,0.5352503,1.3497139,0.758755,1.6202981,-2.849433,0.66661716,-6.4325857,1.4005358,0.3902714,1.5377467,0.5305387,2.5550873,-1.1014289,0.21230944,-0.3296072,-2.229302,1.2704773,-1.1213008,2.1469147,1.1004313,-1.9841888,0.7703089
1,0,2000-07-26 23:00:00,-0.9196092,-3.46524,1.3324281,-0.41786888,-1.1739527,0.585094,-0.08755038,0.94456214,1.7271504,12.472486,-3.4235268,2.3711212,-0.10242609,0.4388676,-0.5167479,1.3817899,-0.66113013,-0.14790203,-0.027374132,-0.111174256,0.76476145,0.50320035,1.4884702,2.609794,-0.7731299,-1.0133718,0.3897363,0.6870698,0.7537977,0.5820908,0.9791997,0.46237922,-0.7771886,-1.9800689,-2.0211022,-0.29808167,0.52733135,1.8197554,0.992595,0.52910066,0.5413693,-1.148603,1.5786691,-4.375133,0.7829615,0.6180392,1.2365685,-0.092191406,1.9708384,2.1714845,0.17763548,-0.36800268,2.1987667,-0.7891186,-1.5672307,-0.6607777,-0.21800862,1.5071518,3.7270207,0.919644,19.189669,-1.8708593,0.9469604,0.41716576,1.6926613,-3.8595319,3.6413002,-1.3071617,-13.809312,-0.42132312,0.57516086,0.6465937,-1.0804393,-0.53342646,0.07618627,-1.663621,-1.8345009,-2.05017,-1.6330146,2.3400826,1.1945932,1.2050328,0.24052684,-0.89907616,3.102104,1.4988244,-0.7104774,-0.93333894,2.3600836,3.2657237,3.247416,-3.0490289,1.9359235,1.0812953,-3.052069,-2.827832,-0.83350784,0.7892487,-1.3626231,-0.25136247,1.0774225
1,0,2000-07-27 00:00:00,0.82390004,-1.2489867,-0.93915,-0.7613317,-0.25277534,3.984477,1.129285,1.1335522,-1.4514592,0.858516,-0.025122616,-1.8358842,-0.32735896,-2.2508004,2.7367635,1.7720832,1.7367709,-0.21620056,-0.83983684,1.6848178,-0.1771436,-2.0976973,-1.3613389,0.86157036,-5.7480707,1.6735107,-0.6619452,0.50316393,0.08666429,1.5828946,-1.34339,0.8893964,0.34535143,0.36081183,2.3134954,0.03633957,0.6344492,2.4280932,-0.1896275,-1.8625824,3.0167038,-0.5834163,-1.692539,-0.6223311,-3.4496732,-0.50524193,1.1642352,1.8980886,4.058087,4.17839,-2.0494933,0.022415008,2.0111337,-0.43732464,-1.8140213,0.076678865,-1.088674,1.3556402,0.13130642,1.8775696,-1.0503261,-0.30529028,1.1366338,8.8351555,-0.48150417,-0.6107508,-2.246894,-2.03877,-0.31760135,1.31544,-2.591599,0.15293814,1.2493026,0.24328953,0.34056756,0.3638664,-0.06563533,-1.5904987,1.4864292,1.2030655,-0.9339361,2.199373,0.08659739,-2.1230376,-0.43818098,-0.99694806,0.928352,0.8666925,1.6738421,-1.5490469,-0.47093788,-1.6214166,4.1405697,-2.0780308,0.19938827,-2.107748,-1.9394381,-3.225921,-0.5622035,-1.2770392,-0.30326867
1,0,2000-07-27 01:00:00,0.7016761,1.9839483,-1.2037847,-0.6024649,0.47421393,1.4978739,1.3887618,-0.5606711,-1.1919247,-0.15146564,-3.304905,1.1338071,2.1679068,4.14191,0.5855276,-3.2915103,-4.509411,-1.5765337,-3.6228034,-1.5390785,0.47012213,1.7944655,2.1190581,-0.01180953,0.41977033,-1.2873101,-4.8654337,-0.018911783,-0.208429,-1.2945846,2.520002,-0.61238563,0.16856982,-1.1872529,-1.6207784,-0.24376845,3.3478482,1.7691449,-1.5069103,-0.36719605,0.833193,0.25796172,-0.48755676,-2.008209,1.2769818,0.93891513,3.3299158,-0.025436394,-1.1492827,-0.26250282,-2.12053,2.3643117,0.6894927,8.339842,-4.4475193,-1.0872617,0.9658231,-1.0231224,0.39446458,-0.7406207,2.1363747,-0.98454803,-0.57509995,-1.085368,-2.2002354,2.4277115,0.659166,1.5946182,1.0378375,1.7470709,1.771042,-2.3893707,-1.0498346,-0.15093341,0.5025991,0.6257557,2.014921,1.3119162,4.737054,1.1291988,-1.2749275,0.27221584,0.72755295,-3.212797,1.092211,0.9117479,1.0270973,1.1875578,-0.93163097,-4.5376906,0.9124267,1.6089807,1.8884112,14.217067,-0.8786398,-0.09807394,-0.1609652,1.0894986,0.33537516,1.409208,-0.34568682
1,0,2000-07-27 02:00:00,-0.7624847,-2.9903185,0.32817182,-0.48018023,-0.03876228,-0.29345202,-1.2653866,0.9487286,0.49745792,0.69337314,0.6833405,-0.2738367,0.0016082755,-1.9171674,1.7211053,1.7114896,0.33148977,0.765224,2.0544648,-1.5000346,-0.385887,-0.22845685,1.6055447,0.60591006,0.026981495,0.2881899,0.6025375,3.1343281,4.5692425,1.3827786,1.1540357,-1.7237837,-2.7497604,-1.0931549,1.2724196,-0.7058458,-0.66863513,-2.0000763,0.8024726,7.9835663,1.1244297,4.0616035,0.27954495,0.6422697,1.1880288,1.3123341,-1.5656054,-4.114965,0.9307481,-1.2976378,0.24614713,0.037677992,-1.531711,0.9208203,-2.2434478,-0.20767388,-0.45207655,-0.027165474,-1.0618684,0.5295524,-0.12497397,-0.21878585,1.5253296,-0.17931685,-0.45023698,0.3690064,-3.4376495,1.6292422,-0.02693521,-1.2314379,3.423411,-0.37522584,0.51047283,-1.2968124,-4.079321,1.9234966,-1.2000191,0.57405734,2.0621338,1.392456,-0.78093004,1.6180304,0.9168666,0.9110212,-4.7509375,1.2033948,2.1898322,0.54696214,0.48234412,2.5017107,0.54645246,0.0150312735,1.897535,-0.22364728,-0.39971265,-0.4100256,0.2829322,-1.6100286,-0.37119436,-6.0374956,3.5449998
1,0,2000-07-27 03:00:00,-1.347579,-1.4426596,-1.9853462,1.397011,0.113374285,-0.06336108,0.30261147,0.04744656,-0.7255176,-0.6919726,0.82197,2.2515666,2.5097327,-0.37092763,-0.010917101,0.7024634,-0.5023002,-0.16092604,-2.29716,-1.7555789,1.1918311,-0.04053313,-2.3415864,1.1115154,1.2024189,0.40436462,-1.7209918,-1.6714021,-2.0852356,2.357454,-0.14766563,0.28113726,5.16423,-0.4222872,-2.3675435,-1.0167203,-3.702118,0.2836456,-0.8487158,-1.0290774,0.69951636,-2.2259548,2.187821,3.0085387,-0.9344361,0.2567136,1.419873,1.4528396,0.7620103,1.1477323,1.112767,1.6954521,-0.14125362,0.9509476,0.90354913,-0.8437612,0.58418036,-2.785844,-1.0493569,3.3213642,1.2816824,-0.96151435,-1.1297979,-3.4042444,0.72232825,0.6152355,-0.44555926,0.11185752,-0.4097513,-1.6788117,4.6952453,0.27462405,0.19115865,-1.6371881,1.1277928,-0.31253743,0.7964287,-1.5668535,0.09087238,-0.060304172,0.90764505,-1.0714264,-0.24577005,1.2561179,0.74400866,-1.8938316,1.751529,-0.2228256,0.71047294,-0.05274529,1.8702224,-0.46858034,-2.6772442,-3.5148222,-7.113365,-0.264437,-0.84230775,-1.7742084,-0.41913548,-1.1567751,0.12164238
1,0,2000-07-27 04:00:00,0.76425326,-0.7268841,-1.2757528,1.6323643,-0.22221427,-0.7964761,-0.33416042,-3.5300233,-2.7337942,1.7531409,1.1173468,1.3323718,-0.36583132,-0.06609659,0.6287112,-2.4222262,-1.8971016,-0.5557745,-0.4033686,-11.058114,-30.674692,-0.6592276,-1.9509475,1.411081,-1.2477738,-2.4376109,-2.8641727,-0.8045609,0.42498136,1.586775,0.004590567,-3.4087014,-1.640804,3.689844,-0.49610695,-3.0496325,-0.65453786,1.5363262,1.6735935,0.14521438,3.8707123,6.1789217,0.3189062,-0.7472005,-0.98918754,0.10449381,-0.9939836,-1.0393449,0.8294598,-0.93766737,-5.0186734,0.09073531,-1.5218936,0.4389181,-1.7198654,-0.48323134,1.7937652,0.1530605,3.7424896,1.8671888,0.16005848,-5.9079666,-0.58649695,-0.84759426,-5.4689183,0.24661127,1.3747392,5.463924,-2.3625138,-0.4191214,0.07339953,-0.33556315,0.5236188,2.018408,-0.23720348,1.8786625,0.50296736,4.288266,-0.39137727,-0.060531616,-0.30972493,2.8536265,0.736737,0.21113609,-0.7680018,0.23722892,1.713926,-1.5165954,0.6381644,-4.348978,-3.1113245,-1.9338557,-2.1689076,-1.8886993,-0.04703061,0.4773851,-0.048656926,-0.3854834,2.468018,0.85880214,1.632897
1,0,2000-07-27 05:00:00,0.95677006,-0.16504537,0.86638457,0.35465953,1.310145,2.40475,-3.4121253,1.4872715,0.7323492,3.9592988,5.463924,3.3447258,-0.7347928,-2.1031675,0.5518024,-0.7455825,0.23887801,1.6289028,-3.78073,-2.2195442,1.8025619,-0.06655564,-0.8204581,-0.27787027,-0.95660174,-0.4122335,-1.8950682,-0.64453226,0.17568171,-1.7235276,3.8500805,1.1185657,-2.2187486,3.0895114,-1.0543324,-0.42800346,-1.5770849,-1.0187854,1.8553936,-0.3425545,1.0245895,0.92625374,-1.0653026,-1.4339929,-1.5026147,0.05621206,3.9864426,-0.69812554,-2.1396365,-3.0978382,0.74712795,-0.8734702,-3.908874,-3.114525,-1.8428197,-0.25050575,-0.29082996,1.6168348,0.18839662,0.8816405,2.0308335,-2.6121347,0.24460778,-3.0240576,-3.3410676,-0.6869149,-0.7740318,-0.32587016,-0.81174743,2.272742,1.8636409,-0.44684845,1.2848527,-0.11408326,1.5259495,0.74062157,-2.2121427,3.5738328,-0.0545411,-1.7048796,1.2115606,0.8504965,1.1501123,1.1412141,-2.1043205,1.7933276,-0.9351359,0.48012918,2.178124,1.302906,0.13462363,-1.4247667,-0.23093396,3.5119097,-1.2925289,-1.3980913,-0.26238573,4.7219205,-0.34679478,-1.8550586,-1.081439
1,0,2000-07-27 06:00:00,0.28008857,0.15947406,0.35129413,-2.9521637,0.16191004,-0.21415165,0.7023437,2.737012,-1.095346,8.520399,-0.40652707,-1.1012863,3.893667,-0.68615746,-0.9547767,-0.32706186,-1.2544074,2.3153296,-7.288434,5.5728054,-0.94001806,0.12006627,1.1598752,-0.11725153,0.49556226,0.1447016,-0.25522333,-0.6478538,8.694221,-3.3482707,0.64770037,-2.9369152,-0.5879617,-1.1630516,1.6360545,-2.2835283,-8.813568,1.7692087,0.20554642,0.6108475,1.5900635,-0.14650677,0.077913314,0.27120095,-0.5643324,0.32301325,1.7060069,-3.6036103,0.16242969,0.30837223,-0.81208616,1.2169029,-3.0171645,0.65967447,-1.0406919,-0.38843837,0.9841115,-0.99614257,1.4340968,1.8329927,0.6140905,-2.1794884,-0.081559904,1.4435283,0.3079697,-2.3306346,2.0390415,1.6833506,-2.1524878,-0.34865397,0.92030066,9.358109,2.2672558,-1.3367414,-0.78758097,4.6621475,0.98456764,0.6680105,0.9889761,2.9473205,1.2956084,3.7888322,-0.13768896,0.13194968,1.066754,0.22580086,0.99095434,-1.4012547,1.9935932,1.1765591,-0.9098975,-2.5604548,0.31469348,14.517517,0.97268224,-0.39969596,0.6728511,-1.4969265,-8.324848,-0.72500485,-0.043444782
1,0,2000-07-27 07:00:00,-1.0169747,0.9967905,11.648918,-5.7172375,-1.7180111,0.26390898,0.6198158,-4.6841836,-0.6342388,0.2405488,3.971193,-1.3580141,-2.8097239,0.65723646,-0.99964786,1.3470724,-2.0607011,-1.8334881,-0.6405466,0.7673147,-2.1980605,1.1964746,-0.25660136,-0.09235688,0.78931266,0.71955955,-7.8611226,1.140496,-1.5240176,-0.052390106,0.24598035,-0.18728414,0.76729655,-0.42012632,-0.9412526,0.26026267,0.39045453,-1.4256588,-2.0993407,-0.31187975,3.6346886,-2.1186,-1.4598194,-0.880108,0.95921785,1.2101824,6.7921786,1.5135525,-0.37135324,0.32431558,-1.8788488,0.5057872,-1.7748662,3.7219298,-1.2064474,0.07822109,-0.18649442,-1.673112,-0.083827,-0.20799527,-0.2773789,-6.6157775,-1.1584716,-1.7157089,0.14863522,-0.20656316,-1.2157025,0.2383448,-2.1664376,-4.3516483,5.7501297,0.04469164,0.8730668,0.04732464,1.2168224,-0.8712976,1.0894414,0.6047234,0.76844674,-1.1597868,-1.8489292,0.9347371,-5.0100875,0.83850414,3.2012177,3.4646368,-0.9009088,-4.209764,-1.0417318,0.07071108,1.3587265,0.6896065,-0.640103,-1.0119172,-0.36278102,-2.8088562,0.22729164,-1.9160165,-0.99898756,0.72666824,-2.3414967
